wind(m/s),    lat,     lon
    4.70,   23.50,  278.35
    4.77,   23.50,  278.38
    4.84,   23.50,  278.42
    4.91,   23.50,  278.46
    4.98,   23.50,  278.50
    5.04,   23.49,  278.53
    5.11,   23.49,  278.57
    5.18,   23.49,  278.61
    5.24,   23.49,  278.65
    5.31,   23.49,  278.69
    5.38,   23.48,  278.72
    5.44,   23.48,  278.76
    5.50,   23.48,  278.80
    5.57,   23.48,  278.84
    5.63,   23.48,  278.88
    5.70,   23.47,  278.91
    5.76,   23.47,  278.95
    5.82,   23.47,  278.99
    5.88,   23.47,  279.03
    5.94,   23.46,  279.06
    6.00,   23.46,  279.10
    6.06,   23.46,  279.14
    6.12,   23.46,  279.18
    6.18,   23.46,  279.22
    6.23,   23.45,  279.25
    6.29,   23.45,  279.29
    6.34,   23.45,  279.33
    6.40,   23.45,  279.37
    6.45,   23.44,  279.41
    6.50,   23.44,  279.44
    6.55,   23.44,  279.48
    6.60,   23.44,  279.52
    6.65,   23.43,  279.56
    6.70,   23.43,  279.59
    6.74,   23.43,  279.63
    6.79,   23.43,  279.67
    6.83,   23.42,  279.71
    6.87,   23.42,  279.75
    6.91,   23.42,  279.78
    6.95,   23.42,  279.82
    6.99,   23.41,  279.86
    7.03,   23.41,  279.90
    7.06,   23.41,  279.93
    7.10,   23.41,  279.97
    7.13,   23.40,  280.01
    7.16,   23.40,  280.05
    7.19,   23.40,  280.09
    7.22,   23.40,  280.12
    7.24,   23.39,  280.16
    7.27,   23.39,  280.20
    7.29,   23.39,  280.24
    7.31,   23.39,  280.27
    7.33,   23.38,  280.31
    7.34,   23.38,  280.35
    7.36,   23.38,  280.39
    7.37,   23.37,  280.43
    7.39,   23.37,  280.46
    7.40,   23.37,  280.50
    7.41,   23.37,  280.54
    7.41,   23.36,  280.58
    7.42,   23.36,  280.61
    7.42,   23.36,  280.65
    7.42,   23.35,  280.69
    7.42,   23.35,  280.73
    7.42,   23.35,  280.76
    7.42,   23.35,  280.80
    7.41,   23.34,  280.84
    7.41,   23.34,  280.88
    7.40,   23.34,  280.92
    7.39,   23.33,  280.95
    7.38,   23.33,  280.99
    7.36,   23.33,  281.03
    7.35,   23.32,  281.07
    7.33,   23.32,  281.10
    7.31,   23.32,  281.14
    7.29,   23.32,  281.18
    7.27,   23.31,  281.22
    7.25,   23.31,  281.25
    7.23,   23.31,  281.29
    7.20,   23.30,  281.33
    7.17,   23.30,  281.37
    7.15,   23.30,  281.41
    7.12,   23.29,  281.44
    7.09,   23.29,  281.48
    7.05,   23.29,  281.52
    7.02,   23.28,  281.56
    6.98,   23.28,  281.59
    6.95,   23.28,  281.63
    6.91,   23.27,  281.67
    6.87,   23.27,  281.71
    6.83,   23.27,  281.74
    6.79,   23.26,  281.78
    6.75,   23.26,  281.82
    6.71,   23.26,  281.86
    6.66,   23.25,  281.90
    6.62,   23.25,  281.93
    6.57,   23.25,  281.97
    6.53,   23.24,  282.01
    6.48,   23.24,  282.05
    6.43,   23.24,  282.08
    6.38,   23.23,  282.12
    6.33,   23.23,  282.16
    6.28,   23.23,  282.20
    6.23,   23.22,  282.23
    6.18,   23.22,  282.27
    6.12,   23.21,  282.31
    6.07,   23.21,  282.35
    6.02,   23.21,  282.38
    5.96,   23.20,  282.42
    5.91,   23.20,  282.46
    5.86,   23.20,  282.50
    5.80,   23.19,  282.53
    5.74,   23.19,  282.57
    5.69,   23.19,  282.61
    5.63,   23.18,  282.65
    5.58,   23.18,  282.68
    5.52,   23.17,  282.72
    5.47,   23.17,  282.76
    5.41,   23.17,  282.80
    5.35,   23.16,  282.83
